Attack Type,precision,recall,f1-score,support
Backdoor_Malware,0.7244444444444444,0.49393939393939396,0.5873873873873874,330.0
BenignTraffic,0.7757283588346259,0.8320593525179856,0.80290703980909,13344.0
BrowserHijacking,0.7409766454352441,0.5109809663250366,0.6048526863084922,683.0
CommandInjection,0.7510638297872341,0.5657051282051282,0.6453382084095064,624.0
DDoS-ACK_Fragmentation,0.9965110236804988,0.9951812588034695,0.9958456973293769,13489.0
DDoS-HTTP_Flood,0.9678593086719224,0.9791411042944785,0.9734675205855444,3260.0
DDoS-ICMP_Flood,0.9996253278381416,0.9985777378546299,0.9991012582384662,13359.0
DDoS-ICMP_Fragmentation,0.995418606369615,0.9958601315886745,0.9956393200295639,13527.0
DDoS-PSHACK_Flood,0.9991809381980641,0.9988834301027244,0.9990321620011912,13434.0
DDoS-RSTFINFlood,0.9991200410647503,0.9994865023474179,0.9993032381092083,13632.0
DDoS-SYN_Flood,0.9505284461434675,0.9718730839975476,0.9610822691272879,13048.0
DDoS-SlowLoris,0.956245325355273,0.9696624952597649,0.9629071737902467,2637.0
DDoS-SynonymousIP_Flood,0.9879682179341657,0.9746192893401016,0.9812483559430311,13396.0
DDoS-TCP_Flood,0.9667201868340388,0.9770598214944309,0.9718625041270773,13557.0
DDoS-UDP_Flood,0.9760233918128655,0.9787421199237648,0.9773808652368055,13642.0
DDoS-UDP_Fragmentation,0.9971728294025742,0.9962833568720731,0.9967278946977021,13453.0
DNS_Spoofing,0.736716547386684,0.7619439252336448,0.7491179064980888,13375.0
DictionaryBruteForce,0.6843910806174958,0.5518672199170125,0.6110260336906586,1446.0
DoS-HTTP_Flood,0.9859382777501244,0.9822712620877758,0.9841013538690846,8066.0
DoS-SYN_Flood,0.9724148326801326,0.9619743513271697,0.9671664167916042,13412.0
DoS-TCP_Flood,0.9756388288758102,0.964856700803065,0.9702178100459328,13573.0
DoS-UDP_Flood,0.9778556516552341,0.9758184523809523,0.9768359898704008,13440.0
MITM-ArpSpoofing,0.8278314650173947,0.8075414781297134,0.8175606031685436,13260.0
Mirai-greeth_flood,0.9963177275118359,0.9956443376389306,0.9959809187544604,13316.0
Mirai-greip_flood,0.9957765263781861,0.995039241818451,0.9954077475742538,13506.0
Mirai-udpplain,0.9977457168620378,0.9981207246485755,0.9979331855247829,13303.0
Recon-HostDiscovery,0.8151757744517926,0.8573729682237516,0.8357420690147379,13658.0
Recon-OSScan,0.6976660682226212,0.6944245889921372,0.6960415547196848,11192.0
Recon-PingSweep,0.7607361963190185,0.4679245283018868,0.5794392523364486,265.0
Recon-PortScan,0.7086383601756955,0.6767774550930408,0.6923415492957746,9297.0
SqlInjection,0.819371727748691,0.5569395017793595,0.663135593220339,562.0
Uploading_Attack,0.9210526315789473,0.4794520547945205,0.6306306306306306,146.0
VulnerabilityScan,0.9806629834254144,0.981114693689544,0.9808887865530739,4342.0
XSS,0.831275720164609,0.45089285714285715,0.5846599131693199,448.0
accuracy,0.9300145502560717,0.9300145502560717,0.9300145502560717,0.9300145502560717
macro avg,0.896170383489078,0.8352362210255592,0.8583032616428763,312022.0
weighted avg,0.92994933038355,0.9300145502560717,0.9295627098288313,312022.0
