Attack Type,precision,recall,f1-score,support
Backdoor_Malware,0.0,0.0,0.0,373.0
BenignTraffic,0.3436546009594418,0.05908375196820874,0.10083173384516955,13337.0
BrowserHijacking,0.0,0.0,0.0,686.0
CommandInjection,0.0,0.0,0.0,589.0
DDoS-ACK_Fragmentation,0.0,0.0,0.0,13427.0
DDoS-HTTP_Flood,0.0,0.0,0.0,3344.0
DDoS-ICMP_Flood,0.09486510008703221,0.00819672131147541,0.015089637987125355,13298.0
DDoS-ICMP_Fragmentation,0.3726565580528372,0.7895496316548948,0.5063315799727255,13167.0
DDoS-PSHACK_Flood,0.0,0.0,0.0,13515.0
DDoS-RSTFINFlood,0.0,0.0,0.0,13426.0
DDoS-SYN_Flood,0.0,0.0,0.0,13533.0
DDoS-SlowLoris,0.0,0.0,0.0,2643.0
DDoS-SynonymousIP_Flood,0.0,0.0,0.0,13361.0
DDoS-TCP_Flood,0.0,0.0,0.0,13565.0
DDoS-UDP_Flood,0.07394805630234882,0.8944799098760796,0.1366029339236354,13315.0
DDoS-UDP_Fragmentation,0.8006319739310753,0.604443119129268,0.6888407459326282,13414.0
DNS_Spoofing,0.24557260920897284,0.15529341496192325,0.190267105744603,13394.0
DictionaryBruteForce,0.0,0.0,0.0,1503.0
DoS-HTTP_Flood,0.7121212121212122,0.04079861111111111,0.07717569786535304,8064.0
DoS-SYN_Flood,0.0,0.0,0.0,13440.0
DoS-TCP_Flood,0.0,0.0,0.0,13422.0
DoS-UDP_Flood,0.36585365853658536,0.0033183393555047563,0.006577024261911721,13561.0
MITM-ArpSpoofing,0.4979536152796726,0.32606268145611556,0.3940798056592739,13433.0
Mirai-greeth_flood,0.0,0.0,0.0,13461.0
Mirai-greip_flood,0.0,0.0,0.0,13596.0
Mirai-udpplain,0.9495143302554263,0.5864750759203022,0.7250915750915751,13501.0
Recon-HostDiscovery,0.17317651421835473,0.9745099500633525,0.29409118513686766,13417.0
Recon-OSScan,0.12776412776412777,0.08868144690781797,0.1046942884391226,11141.0
Recon-PingSweep,0.0,0.0,0.0,272.0
Recon-PortScan,0.0,0.0,0.0,9401.0
SqlInjection,0.0,0.0,0.0,596.0
Uploading_Attack,0.0,0.0,0.0,158.0
VulnerabilityScan,0.5161290322580645,0.0037896731406916154,0.0075241006348459915,4222.0
XSS,0.0,0.0,0.0,447.0
accuracy,0.19274922922101648,0.19274922922101648,0.19274922922101648,0.19274922922101648
macro avg,0.15511298202868093,0.13337300961343368,0.09550580630867167,312022.0
weighted avg,0.19839440368701292,0.19274922922101648,0.1370364804049705,312022.0
