Attack Type,precision,recall,f1-score,support
Backdoor_Malware,1.0,0.1388888888888889,0.24390243902439024,72.0
BenignTraffic,0.7465422965583789,0.8574067233099372,0.798143053645117,2707.0
BrowserHijacking,1.0,0.2014388489208633,0.33532934131736525,139.0
CommandInjection,0.7872340425531915,0.3557692307692308,0.4900662251655629,104.0
DDoS-ACK_Fragmentation,0.998138495904691,0.9889339727037993,0.993514915693904,2711.0
DDoS-HTTP_Flood,0.9837662337662337,0.9294478527607362,0.9558359621451105,652.0
DDoS-ICMP_Flood,1.0,0.9978005865102639,0.9988990825688073,2728.0
DDoS-ICMP_Fragmentation,0.9977595220313666,0.9881656804733728,0.9929394277220365,2704.0
DDoS-PSHACK_Flood,1.0,1.0,1.0,2734.0
DDoS-RSTFINFlood,1.0,0.99963113242346,0.9998155321896329,2711.0
DDoS-SYN_Flood,0.9456238361266294,0.9624715693707354,0.9539733233139207,2638.0
DDoS-SlowLoris,0.8664440734557596,0.9774011299435028,0.9185840707964602,531.0
DDoS-SynonymousIP_Flood,0.9891514916698954,0.9641238670694864,0.9764773379231211,2648.0
DDoS-TCP_Flood,0.9715370018975332,0.9730140630938806,0.9722749715153817,2631.0
DDoS-UDP_Flood,0.9847809948032665,0.9657808518383691,0.9751883844881456,2747.0
DDoS-UDP_Fragmentation,0.9934790947449176,0.9900611620795107,0.9917671836109515,2616.0
DNS_Spoofing,0.7526683842473316,0.7743279060961757,0.76334453154162,2641.0
DictionaryBruteForce,0.9285714285714286,0.35738831615120276,0.5161290322580645,291.0
DoS-HTTP_Flood,0.9736842105263158,0.9894278606965174,0.9814929056138186,1608.0
DoS-SYN_Flood,0.9582859309821767,0.9568345323741008,0.9575596816976127,2641.0
DoS-TCP_Flood,0.9742441209406495,0.9698996655518395,0.9720670391061452,2691.0
DoS-UDP_Flood,0.9657738095238095,0.9822171774498676,0.9739260926655412,2643.0
MITM-ArpSpoofing,0.8208791208791208,0.8284658040665435,0.8246550137994481,2705.0
Mirai-greeth_flood,0.9992606284658041,0.9890230515916575,0.9941154836336888,2733.0
Mirai-greip_flood,0.9910347403810236,0.9928892215568862,0.9919611142269583,2672.0
Mirai-udpplain,0.9984865682936057,0.9950980392156863,0.9967894239848915,2652.0
Recon-HostDiscovery,0.8170974155069582,0.8835542816194912,0.849027371320365,2791.0
Recon-OSScan,0.6850209986000934,0.6721611721611722,0.6785301594638318,2184.0
Recon-PingSweep,0.5,0.019230769230769232,0.037037037037037035,52.0
Recon-PortScan,0.6955844155844156,0.6863147104049205,0.6909184726522187,1951.0
SqlInjection,0.9310344827586207,0.216,0.35064935064935066,125.0
Uploading_Attack,1.0,0.047619047619047616,0.09090909090909091,21.0
VulnerabilityScan,0.9325842696629213,0.9892729439809297,0.9600925390399074,839.0
XSS,0.7352941176470589,0.2717391304347826,0.3968253968253968,92.0
accuracy,0.9262238602676067,0.9262238602676067,0.9262238602676067,0.9262238602676067
macro avg,0.9095282860612705,0.7621117408928714,0.7830217937513204,62405.0
weighted avg,0.9276441841267403,0.9262238602676067,0.9240006188408073,62405.0
